37.602633.2f,38.918913.2f,21.732013.2f,74.443204.2f,62.643347.2f,43.732048.2f,50.996033.2f,33.367617.2f,80.525316.2f,11.942788.2f,31.414753.2f,15.044673.2f,20.882518.2f,76.092063.2f,84.399599.2f,38.693605.2f,51.370459.2f,83.263368.2f,82.711551.2f,1.790744.2f,83.582796.2f,76.210212.2f,71.822004.2f,68.392970.2f,74.321928.2f,97.817108.2f,37.054976.2f,10.853539.2f,47.676859.2f,69.734641.2f,39.153219.2f,47.117620.2f,25.960534.2f,37.561048.2f,52.160828.2f,82.841700.2f,75.936405.2f,27.607554.2f,75.358295.2f,41.043219.2f,6.620907.2f,25.736559.2f,32.609714.2f,67.911923.2f,47.450353.2f,37.115839.2f,65.461562.2f,50.888713.2f,7.432401.2f,45.518865.2f
33.213326.2f,77.595246.2f,30.562637.2f,85.511627.2f,32.342196.2f,24.909327.2f,45.741465.2f,78.178155.2f,39.811807.2f,40.577338.2f,30.915233.2f,44.769802.2f,32.344206.2f,28.784648.2f,88.935220.2f,67.561744.2f,79.445191.2f,92.661765.2f,91.224692.2f,52.119800.2f,34.781136.2f,46.953332.2f,58.543303.2f,77.389421.2f,54.257441.2f,51.117828.2f,60.962775.2f,41.822999.2f,19.269636.2f,38.908877.2f,29.726363.2f,37.199005.2f,28.277218.2f,63.193848.2f,10.913900.2f,43.377780.2f,48.157723.2f,54.655071.2f,75.371961.2f,18.801252.2f,58.333650.2f,30.601766.2f,82.635733.2f,81.872090.2f,38.150897.2f,15.853972.2f,13.932022.2f,50.278832.2f,59.593713.2f,33.057434.2f
41.565059.2f,85.520654.2f,36.723379.2f,93.650438.2f,38.588109.2f,33.161374.2f,53.815293.2f,85.689446.2f,42.715620.2f,46.469572.2f,39.101522.2f,52.127083.2f,37.773165.2f,29.745176.2f,96.749920.2f,75.767637.2f,87.746518.2f,100.681914.2f,99.217319.2f,58.397150.2f,34.235075.2f,52.295896.2f,65.603694.2f,85.522196.2f,60.696869.2f,50.923349.2f,69.224959.2f,48.304106.2f,27.286236.2f,44.484924.2f,38.075261.2f,45.328737.2f,35.674099.2f,71.439449.2f,18.275820.2f,46.438757.2f,53.705743.2f,62.713172.2f,83.096744.2f,27.150734.2f,64.129452.2f,38.274320.2f,89.544224.2f,90.119371.2f,46.275469.2f,21.254209.2f,13.195059.2f,58.438584.2f,65.526393.2f,31.831877.2f
4.213495.2f,45.981777.2f,21.678949.2f,56.241195.2f,29.547816.2f,11.873213.2f,20.564483.2f,48.554989.2f,48.323273.2f,26.989958.2f,3.430689.2f,19.426233.2f,26.067207.2f,46.977660.2f,62.438340.2f,34.923924.2f,46.684673.2f,64.323661.2f,63.165224.2f,32.338622.2f,54.777398.2f,42.667911.2f,40.664997.2f,48.418027.2f,41.594391.2f,66.934801.2f,28.210816.2f,23.983010.2f,17.927098.2f,36.347992.2f,5.956754.2f,14.222989.2f,13.282875.2f,30.467985.2f,26.199450.2f,50.217860.2f,42.412685.2f,22.803010.2f,50.292103.2f,14.209852.2f,40.037000.2f,10.414767.2f,55.905577.2f,51.488717.2f,14.783957.2f,26.391438.2f,41.586673.2f,22.906902.2f,40.317745.2f,49.684428.2f
68.467284.2f,22.564765.2f,68.248517.2f,64.969376.2f,92.729592.2f,78.130561.2f,70.770798.2f,18.071844.2f,112.100293.2f,60.292585.2f,66.831629.2f,51.568228.2f,69.023349.2f,113.172981.2f,77.618772.2f,36.766689.2f,36.219778.2f,71.890296.2f,72.477574.2f,48.533186.2f,120.961593.2f,100.898273.2f,86.206007.2f,64.149104.2f,92.974623.2f,131.708647.2f,43.257659.2f,56.809830.2f,84.347289.2f,97.549573.2f,71.871085.2f,73.209377.2f,68.032268.2f,41.107851.2f,92.154447.2f,113.060202.2f,99.666407.2f,44.012734.2f,76.630402.2f,79.781939.2f,46.830494.2f,65.646616.2f,18.431386.2f,58.571332.2f,72.855172.2f,83.324059.2f,107.342916.2f,67.031719.2f,44.884632.2f,94.972817.2f
52.972148.2f,98.347381.2f,68.294946.2f,83.131996.2f,27.685752.2f,44.456767.2f,50.970923.2f,103.274996.2f,8.471739.2f,77.767723.2f,57.089161.2f,75.105430.2f,71.627735.2f,15.339317.2f,80.064259.2f,84.765095.2f,92.118750.2f,86.889751.2f,85.090496.2f,86.810864.2f,13.543514.2f,24.827247.2f,46.134307.2f,76.015650.2f,37.441728.2f,11.379235.2f,77.746989.2f,76.893236.2f,39.954111.2f,23.916478.2f,50.118734.2f,47.214914.2f,61.849639.2f,80.070426.2f,37.311591.2f,9.126128.2f,26.881542.2f,76.686053.2f,67.107694.2f,46.698903.2f,94.240482.2f,61.919473.2f,111.764777.2f,82.984525.2f,47.606262.2f,57.497456.2f,31.899079.2f,55.667971.2f,94.933632.2f,76.357541.2f
54.268434.2f,65.992517.2f,79.467245.2f,24.323700.2f,49.992048.2f,57.412023.2f,37.488727.2f,75.965360.2f,59.281899.2f,82.860884.2f,61.317452.2f,70.210462.2f,83.803922.2f,71.160162.2f,15.221348.2f,53.602010.2f,50.264683.2f,23.344345.2f,21.573640.2f,82.981401.2f,76.097966.2f,41.916995.2f,22.291967.2f,22.417477.2f,29.519186.2f,75.546388.2f,50.530020.2f,78.634417.2f,61.381957.2f,46.701522.2f,55.864842.2f,45.449871.2f,71.173907.2f,51.372399.2f,69.405856.2f,57.162853.2f,39.834563.2f,58.114529.2f,10.112343.2f,64.983765.2f,89.739773.2f,68.148099.2f,88.541305.2f,28.939743.2f,44.568434.2f,81.909772.2f,79.638922.2f,35.210274.2f,89.035974.2f,106.429571.2f
38.105900.2f,84.276793.2f,53.528907.2f,73.898869.2f,14.070559.2f,29.372773.2f,38.166850.2f,88.709433.2f,8.600327.2f,62.845795.2f,41.994925.2f,60.008685.2f,57.020795.2f,10.744054.2f,72.875020.2f,71.021165.2f,79.326643.2f,78.836085.2f,77.108191.2f,71.714861.2f,16.860929.2f,19.464316.2f,38.555839.2f,66.253184.2f,30.978237.2f,25.898196.2f,63.922801.2f,61.841394.2f,24.893773.2f,13.823098.2f,35.131922.2f,33.194133.2f,46.842113.2f,66.283192.2f,23.321470.2f,11.952004.2f,21.356139.2f,62.151238.2f,59.234322.2f,31.717510.2f,79.166056.2f,46.827358.2f,96.876707.2f,72.727806.2f,33.707812.2f,43.734381.2f,22.866900.2f,43.147554.2f,79.839849.2f,64.525114.2f
35.171574.2f,69.063509.2f,16.426669.2f,88.528318.2f,47.278921.2f,31.934089.2f,51.558614.2f,66.952932.2f,59.120757.2f,24.469367.2f,29.077939.2f,34.232873.2f,15.505411.2f,49.388691.2f,94.618127.2f,62.272125.2f,75.384633.2f,96.655591.2f,95.495622.2f,36.670431.2f,55.583197.2f,62.797352.2f,69.173868.2f,80.744972.2f,67.171217.2f,71.840876.2f,56.901087.2f,27.603722.2f,30.118118.2f,54.745815.2f,33.075776.2f,43.421327.2f,20.565696.2f,58.722415.2f,27.293375.2f,62.450771.2f,63.538642.2f,48.337090.2f,82.066648.2f,24.502735.2f,41.374092.2f,24.090825.2f,68.634950.2f,83.564533.2f,44.301893.2f,7.410371.2f,34.595969.2f,54.811655.2f,42.958916.2f,17.569715.2f
24.454726.2f,57.791252.2f,49.903895.2f,41.541240.2f,19.326974.2f,25.073490.2f,10.284516.2f,64.788479.2f,35.219365.2f,55.525780.2f,31.771551.2f,45.674387.2f,54.306419.2f,42.901536.2f,42.235138.2f,43.619856.2f,49.039800.2f,47.183826.2f,45.549074.2f,59.222156.2f,49.440947.2f,20.792998.2f,12.306162.2f,33.744222.2f,13.868879.2f,54.789693.2f,37.178132.2f,52.165927.2f,28.593671.2f,19.765384.2f,24.878002.2f,14.472891.2f,41.337106.2f,39.257928.2f,36.701142.2f,34.923585.2f,19.386054.2f,39.605274.2f,28.416667.2f,32.621277.2f,66.789979.2f,38.909115.2f,75.436555.2f,40.141621.2f,13.836618.2f,49.782577.2f,48.058614.2f,13.320966.2f,66.670579.2f,74.401993.2f
37.741188.2f,82.493855.2f,55.731238.2f,69.149221.2f,11.937901.2f,29.984694.2f,35.172460.2f,87.591816.2f,7.484842.2f,64.631649.2f,42.530028.2f,60.450440.2f,59.474082.2f,16.512870.2f,67.522570.2f,68.889042.2f,76.387078.2f,73.725631.2f,71.973328.2f,72.733180.2f,21.641521.2f,13.397979.2f,33.126433.2f,61.677340.2f,25.222816.2f,27.251250.2f,61.874283.2f,63.184562.2f,26.667896.2f,8.730511.2f,35.168748.2f,31.407510.2f,48.480490.2f,64.195667.2f,27.105409.2f,9.148124.2f,15.329533.2f,61.017533.2f,54.011096.2f,33.660351.2f,80.314741.2f,48.025625.2f,96.385864.2f,68.371319.2f,31.769423.2f,47.288312.2f,28.720322.2f,39.951619.2f,80.849608.2f,69.092201.2f
48.380751.2f,69.499521.2f,23.075532.2f,98.222282.2f,65.313699.2f,48.128534.2f,65.143583.2f,64.498597.2f,78.275823.2f,23.186299.2f,41.196213.2f,37.355298.2f,18.850158.2f,68.652975.2f,106.070940.2f,66.529262.2f,79.822135.2f,106.812514.2f,105.894906.2f,32.395477.2f,74.703476.2f,80.808929.2f,84.557514.2f,91.003841.2f,83.793546.2f,91.064471.2f,62.790842.2f,28.052323.2f,47.856760.2f,72.904607.2f,47.397574.2f,57.933133.2f,31.332173.2f,64.064413.2f,46.363645.2f,81.539441.2f,81.351074.2f,53.161124.2f,94.616163.2f,41.400613.2f,33.473746.2f,34.364829.2f,62.516212.2f,92.440132.2f,58.692186.2f,25.971867.2f,53.517046.2f,67.367189.2f,35.399105.2f,16.080589.2f
65.591568.2f,19.683899.2f,65.762040.2f,62.708204.2f,89.817410.2f,75.269033.2f,67.865064.2f,15.359897.2f,109.186790.2f,57.969859.2f,64.024276.2f,48.933630.2f,66.639650.2f,110.297362.2f,75.352469.2f,33.891915.2f,33.732222.2f,69.783097.2f,70.321777.2f,46.331367.2f,118.084130.2f,97.996026.2f,83.390896.2f,61.672248.2f,90.116302.2f,128.798509.2f,40.354075.2f,54.387132.2f,81.503315.2f,94.634954.2f,69.005534.2f,70.296260.2f,65.371674.2f,38.211803.2f,89.355296.2f,110.145097.2f,96.769263.2f,41.127081.2f,74.069698.2f,76.986367.2f,44.965523.2f,62.941060.2f,17.195883.2f,56.232606.2f,69.940944.2f,80.762156.2f,104.564577.2f,64.142013.2f,43.017686.2f,92.827664.2f
39.619794.2f,62.704050.2f,14.262323.2f,89.595041.2f,57.517469.2f,39.809259.2f,56.362075.2f,58.637914.2f,71.489251.2f,15.757625.2f,32.406355.2f,29.372792.2f,10.084147.2f,62.875267.2f,97.303887.2f,58.692754.2f,72.027442.2f,98.148834.2f,97.207134.2f,26.628851.2f,69.385427.2f,72.923677.2f,75.908201.2f,82.309902.2f,75.385148.2f,85.400681.2f,54.595329.2f,20.401367.2f,40.075081.2f,65.135724.2f,38.746435.2f,49.247218.2f,22.544908.2f,55.981884.2f,39.662491.2f,74.608896.2f,73.364608.2f,45.083990.2f,85.803308.2f,33.388887.2f,29.500153.2f,25.550382.2f,58.152134.2f,83.899043.2f,49.990244.2f,19.455340.2f,48.664157.2f,58.552552.2f,31.297990.2f,19.910710.2f
9.716914.2f,38.229974.2f,29.480235.2f,46.578827.2f,33.114289.2f,19.467653.2f,15.592637.2f,42.551362.2f,52.516771.2f,32.152078.2f,13.076038.2f,20.414653.2f,33.638871.2f,53.678425.2f,53.616844.2f,25.880464.2f,36.889663.2f,54.873943.2f,53.813828.2f,33.908917.2f,61.415988.2f,43.515838.2f,36.376842.2f,38.945073.2f,39.420153.2f,71.964268.2f,18.860296.2f,28.053549.2f,26.103227.2f,38.665338.2f,13.391997.2f,13.901536.2f,21.926635.2f,21.215928.2f,35.174414.2f,53.781874.2f,42.777732.2f,15.966980.2f,42.284390.2f,23.889235.2f,41.365662.2f,18.495520.2f,51.643187.2f,41.541303.2f,13.797972.2f,36.435798.2f,50.447906.2f,15.740050.2f,41.160730.2f,59.105152.2f
73.049131.2f,28.916459.2f,70.365053.2f,72.470303.2f,97.905935.2f,82.519318.2f,76.601768.2f,22.275768.2f,117.310684.2f,61.764484.2f,70.781030.2f,54.549301.2f,70.679741.2f,117.644926.2f,85.118291.2f,43.060439.2f,43.545309.2f,79.441590.2f,80.018169.2f,49.668479.2f,125.445584.2f,106.749013.2f,92.759157.2f,71.484803.2f,99.277179.2f,136.763433.2f,49.212501.2f,58.734438.2f,88.542235.2f,103.042020.2f,76.324536.2f,78.467950.2f,71.026717.2f,47.178292.2f,95.946887.2f,118.439845.2f,105.596000.2f,48.858145.2f,83.856577.2f,83.585868.2f,46.809430.2f,68.915147.2f,17.799459.2f,66.027275.2f,78.178031.2f,85.721186.2f,110.942332.2f,73.097225.2f,44.904519.2f,95.540042.2f
10.274647.2f,37.548693.2f,29.379411.2f,46.536734.2f,33.838231.2f,20.067939.2f,16.168649.2f,41.829415.2f,53.240244.2f,31.831110.2f,13.285092.2f,19.905582.2f,33.503773.2f,54.358333.2f,53.726496.2f,25.273696.2f,36.397096.2f,54.874037.2f,53.833890.2f,33.373752.2f,62.100093.2f,44.223334.2f,36.916999.2f,38.951774.2f,40.052340.2f,72.682373.2f,18.278552.2f,27.676490.2f,26.694267.2f,39.389658.2f,13.951778.2f,14.624949.2f,21.944224.2f,20.625749.2f,35.724093.2f,54.507792.2f,43.477192.2f,15.243772.2f,42.512879.2f,24.350437.2f,40.805256.2f,18.484903.2f,50.919930.2f,41.421263.2f,14.515650.2f,36.639649.2f,51.017134.2f,16.146086.2f,40.579148.2f,59.158736.2f
60.264566.2f,23.732965.2f,54.797799.2f,70.568069.2f,85.901779.2f,69.280220.2f,66.433685.2f,13.233988.2f,105.212741.2f,45.903102.2f,57.044522.2f,39.890037.2f,54.863001.2f,104.253225.2f,82.908768.2f,35.744194.2f,41.114008.2f,78.526758.2f,78.741804.2f,33.736075.2f,112.033140.2f,96.197143.2f,84.548399.2f,67.806332.2f,90.112221.2f,124.256314.2f,40.373978.2f,43.125562.2f,74.945919.2f,91.660567.2f,63.271725.2f,66.894452.2f,56.155860.2f,38.820454.2f,81.752903.2f,106.682959.2f,95.263972.2f,37.292121.2f,79.064466.2f,69.503479.2f,30.729752.2f,54.351636.2f,1.732106.2f,63.695064.2f,66.749358.2f,70.263595.2f,96.442283.2f,63.666359.2f,28.818941.2f,79.447780.2f
48.028763.2f,42.731090.2f,30.279108.2f,82.421028.2f,72.954637.2f,53.976193.2f,61.225379.2f,34.922414.2f,90.623894.2f,20.240424.2f,41.773518.2f,25.329426.2f,28.316043.2f,85.616660.2f,92.943130.2f,45.552829.2f,57.330403.2f,91.214179.2f,90.797463.2f,11.785720.2f,92.984352.2f,86.625327.2f,82.007321.2f,76.854143.2f,84.689226.2f,107.580128.2f,45.147016.2f,20.721423.2f,57.651365.2f,80.097803.2f,49.535477.2f,57.531065.2f,35.731566.2f,45.261448.2f,61.541015.2f,93.022394.2f,86.361065.2f,36.258507.2f,84.595592.2f,50.885584.2f,4.388454.2f,35.863905.2f,30.193622.2f,75.700456.2f,57.852973.2f,44.952462.2f,74.161564.2f,60.889993.2f,5.404086.2f,48.592490.2f
9.274429.2f,38.623215.2f,29.197180.2f,46.932005.2f,32.794757.2f,19.034186.2f,15.573275.2f,42.882118.2f,52.194259.2f,31.990715.2f,12.677892.2f,20.395089.2f,33.371875.2f,53.283844.2f,53.905259.2f,26.310655.2f,37.335710.2f,55.210263.2f,54.142035.2f,33.908049.2f,61.025019.2f,43.304513.2f,36.385022.2f,39.279838.2f,39.330598.2f,71.622397.2f,19.296481.2f,27.930347.2f,25.667655.2f,38.394486.2f,12.950125.2f,13.640094.2f,21.592746.2f,21.650330.2f,34.731789.2f,53.480658.2f,42.584505.2f,16.293795.2f,42.512684.2f,23.443590.2f,41.387160.2f,18.174844.2f,51.910671.2f,41.922005.2f,13.562219.2f,36.034768.2f,50.008225.2f,15.864933.2f,41.203124.2f,58.752871.2f
27.097180.2f,65.209975.2f,14.893651.2f,80.887576.2f,38.582847.2f,23.092691.2f,43.107471.2f,64.431094.2f,51.417736.2f,24.781751.2f,21.721427.2f,30.870745.2f,16.444023.2f,42.893941.2f,86.455558.2f,56.966242.2f,69.743337.2f,88.834206.2f,87.611214.2f,36.572717.2f,49.649137.2f,54.114342.2f,60.327747.2f,72.986056.2f,58.272548.2f,65.412973.2f,51.062528.2f,26.453754.2f,21.290418.2f,46.109213.2f,24.674608.2f,34.818121.2f,14.980965.2f,53.059915.2f,19.532013.2f,54.604674.2f,54.794863.2f,43.243309.2f,73.685775.2f,15.615964.2f,42.528843.2f,18.199191.2f,67.749574.2f,76.216163.2f,35.719130.2f,1.691947.2f,29.643181.2f,46.606373.2f,43.846203.2f,26.249203.2f
35.048328.2f,81.240016.2f,50.889054.2f,71.618880.2f,11.267766.2f,26.376049.2f,35.343765.2f,85.646142.2f,11.034014.2f,60.104450.2f,39.008292.2f,57.024666.2f,54.460036.2f,12.760468.2f,70.985489.2f,68.019040.2f,76.440602.2f,76.763307.2f,75.053618.2f,68.820313.2f,19.475976.2f,18.818086.2f,36.815236.2f,63.895975.2f,29.617415.2f,28.950618.2f,60.914973.2f,59.001251.2f,22.078469.2f,12.219535.2f,32.092322.2f,30.188174.2f,44.049955.2f,63.278324.2f,21.231664.2f,14.015435.2f,20.557257.2f,59.089385.2f,57.267711.2f,28.967968.2f,76.298155.2f,43.945577.2f,93.825468.2f,70.264303.2f,30.717669.2f,41.583067.2f,22.702404.2f,40.358494.2f,76.947439.2f,62.964933.2f
39.837624.2f,83.975547.2f,58.360332.2f,69.049145.2f,13.863208.2f,32.376029.2f,36.271219.2f,89.321826.2f,6.354791.2f,67.181974.2f,44.849978.2f,62.705345.2f,62.136662.2f,18.005778.2f,66.916055.2f,70.248516.2f,77.361426.2f,73.329048.2f,71.558436.2f,75.115013.2f,22.320475.2f,11.966476.2f,32.556245.2f,61.720567.2f,24.314091.2f,26.097983.2f,63.284939.2f,65.648876.2f,29.292025.2f,9.143219.2f,37.390759.2f,33.065504.2f,51.023533.2f,65.584307.2f,29.887370.2f,6.958269.2f,14.008768.2f,62.784769.2f,53.554848.2f,36.285645.2f,82.719942.2f,50.482630.2f,98.322701.2f,68.551175.2f,33.364924.2f,50.060395.2f,31.120202.2f,40.915580.2f,83.222076.2f,71.856923.2f
18.926946.2f,48.082968.2f,7.118504.2f,68.613602.2f,41.175022.2f,22.116149.2f,35.346426.2f,47.310077.2f,58.277354.2f,13.074736.2f,11.597883.2f,13.712951.2f,11.372437.2f,53.513811.2f,75.981650.2f,40.654732.2f,53.773401.2f,77.060529.2f,76.060247.2f,21.973410.2f,61.041061.2f,55.684050.2f,55.492229.2f,61.163817.2f,56.017200.2f,75.246366.2f,35.359061.2f,11.759304.2f,25.256586.2f,48.582517.2f,18.954243.2f,28.904883.2f,3.370008.2f,37.130330.2f,29.688337.2f,60.775734.2f,55.723375.2f,26.727071.2f,64.441321.2f,18.489977.2f,29.154374.2f,4.459851.2f,51.382333.2f,63.172671.2f,29.537157.2f,18.400488.2f,43.622599.2f,37.249911.2f,29.997008.2f,37.530532.2f
